CPU_PIN,IRQ,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF20,AF21,AF22,AF23,AF24,AF25,AF26,AF27,AF28,AF29,AF30,AF31
P309,IRQ25-DS,,,GPT:GTCPPO8,,SCI:CTS9_B:B,,,,RTC/CLKOUT/ACMPHS/ETHPHYCLK:VCOUT,,,,,,CEU:VIO_D10,,,,,,,ESWM(GMII/MII):ET1_GTX_CLK,,ESWM(RGMII):RGMII1_TXC,GLCDC:LCD_DATA15_A:A,,,,,,
P310,IRQ24-DS,AGT:AGTEE1,,GPT:GTCPPO7,,SCI:TXD3_B/SDA3_B/MOSI3_B:B,,,,,,,,,,CEU:VIO_D9,,,,,,,ESWM(GMII/MII):ET1_TX_EN,ESWM(RMII):RMII1_TX_EN,ESWM(RGMII):RGMII1_TX_CTL,GLCDC:LCD_DATA16_A:A,,,,,,
P311,IRQ23-DS,AGT:AGTOB1,GPT:GTADSM1,GPT:GTCPPO6,,SCI:SCK3_B:B,,,,,,,,,SCI:DE3,CEU:VIO_D8,CANFD:CRX0,,,,,,ESWM(GMII/MII):ET1_TX_CLK,,,GLCDC:LCD_DATA17_A:A,,,,,,
P312,IRQ22-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P400,IRQ0,AGT:AGTIO1,,GPT:GTIOC6A,,SCI:TXD1_A/SDA1_A/MOSI1_A:A,,IIC/I3C:I3C_SCL0,,,CAC/ADC16H:ADTRG1,,,,,CEU:VIO_D0,,,SSIE:AUDIO_CLK,,,SDHI:SD1CLK_B:B,,,,,,,,,,
P401,IRQ5-DS,,GPT:GTETRGA,GPT:GTIOC6B,,SCI:RXD1_A/SCL1_A/MISO1_A:A,,IIC/I3C:I3C_SDA0,,,,,,,,CEU:VIO_D1,CANFD:CTX0,,,,,SDHI:SD1CMD_B:B,,,,,,,,,,
P402,IRQ4-DS,,,,,SCI:SCK1_A:A,,,,,CAC/ADC16H:CACREF,,,,SCI:DE1,,CANFD:CRX0,,SSIE:AUDIO_CLK,,,SDHI:SD1DAT0_B:B,ESWM(GMII/MII):ET0_LINKSTA,,,,,,,,,
P403,IRQ14-DS,,,GPT:GTIOC3A,,SCI:CTS_RTS1_A/SS1_A:A,,,,,CAC/ADC16H:AD0FLAG1,,,,SCI:DE1,,,,SSIE:SSIBCK0_A:A,,,SDHI:SD1DAT1_B:B,ESWM(GMII/MII):ET1_WOL,,,,,,,,,
P404,IRQ15-DS,,,GPT:GTIOC3B,,SCI:CTS1_A:A,,,,,CAC/ADC16H:AD1FLAG1,,,,,,,,SSIE:SSILRCK0/SSIFS0_A:A,,,SDHI:SD1DAT2_B:B,ESWM(GMII/MII):ET0_WOL,,,,,,,,,
P405,IRQ30,AGT:AGTIO1,,GPT:GTIOC1A,SCI:SCK2_B:B,,,,,,,,,SCI:DE2,,CEU:VIO_D2,,,SSIE:SSITXD0_A:A,,,SDHI:SD1DAT3_B:B,ESWM(GMII/MII):ET0_RX_DV,ESWM(RMII):RMII0_CRS_DV,ESWM(RGMII):RGMII0_RX_CTL,,,,,,,
